ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2017,DIPUTADO PROVINCIAL,CAMBIEMOS, 204907
2017,DIPUTADO PROVINCIAL,UNIDAD CIUDADANA, 117985
2017,DIPUTADO PROVINCIAL,1PAIS, 37719
2017,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 26731
2017,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA, 24277
2017,DIPUTADO PROVINCIAL,PATRIA GRANDE, 8301
2017,DIPUTADO PROVINCIAL,IZQUIERDA AL FRENTE POR EL, 3627
2017,DIPUTADO PROVINCIAL,CAMBIEMOS, 221142
2017,DIPUTADO PROVINCIAL,UNIDAD CIUDADANA, 135955
2017,DIPUTADO PROVINCIAL,1PAIS, 50942
2017,DIPUTADO PROVINCIAL,RENTE JUSTICIALISTA, 21146
2017,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 15242
2017,DIPUTADO PROVINCIAL,UNIDAD CIUDADANA, 1487803
2017,DIPUTADO PROVINCIAL,CAMBIEMOS, 1191718
2017,DIPUTADO PROVINCIAL,1PAIS, 334661
2017,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 192672
2017,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA, 166805
2017,DIPUTADO PROVINCIAL,CAMBIEMOS, 238812
2017,DIPUTADO PROVINCIAL,UNIDAD CIUDADANA, 105616
2017,DIPUTADO PROVINCIAL,1PAIS, 52213
2017,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA, 30769
2017,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 19657
