ano,cargo_nombre,agrupacion_nombre,votos_cantidad
"2023","DIPUTADO PROVINCIAL","UNION POR LA PATRIA","1504238"
"2023","DIPUTADO PROVINCIAL","JUNTOS POR EL CAMBIO","897328"
"2023","DIPUTADO PROVINCIAL","LA LIBERTAD AVANZA","840345"
"2023","DIPUTADO PROVINCIAL","FRENTE DE IZQUIERDA Y DE TRABAJADORES","148805"
"2023","DIPUTADO PROVINCIAL","UNION POR LA PATRIA","136438"
"2023","DIPUTADO PROVINCIAL","JUNTOS POR EL CAMBIO","131537"
"2023","DIPUTADO PROVINCIAL","LA LIBERTAD AVANZA","94324"
"2023","DIPUTADO PROVINCIAL","UNION POR LA PATRIA","302902"
"2023","DIPUTADO PROVINCIAL","JUNTOS POR EL CAMBIO","297164"
"2023","DIPUTADO PROVINCIAL","LA LIBERTAD AVANZA","227500"
"2023","DIPUTADO PROVINCIAL","FRENTE DE IZQUIERDA Y DE TRABAJADORES","28175"
"2023","DIPUTADO PROVINCIAL","UNION POR LA PATRIA","66883"
"2023","DIPUTADO PROVINCIAL","JUNTOS POR EL CAMBIO","64221"
"2023","DIPUTADO PROVINCIAL","LA LIBERTAD AVANZA","53298"
"2023","DIPUTADO PROVINCIAL","FRENTE DE IZQUIERDA DE LOS TRABAJADORES","4340"
