ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2011,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 1348717
2011,DIPUTADO PROVINCIAL,UNION PARA EL DESARROLLO SOCIAL, 342668
2011,DIPUTADO PROVINCIAL,FRENTE AMPLIO PROGRESISTA, 301712
2011,DIPUTADO PROVINCIAL,NUEVO ENCUENTRO, 222531
2011,DIPUTADO PROVINCIAL,FRENTE POPULAR, 189602
2011,DIPUTADO PROVINCIAL,COMPROMISO FEDERAL, 160749
2011,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 97547
2011,DIPUTADO PROVINCIAL,COALICION CIVICA (ARI), 64560
2011,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 172684
2011,DIPUTADO PROVINCIAL,UNION PARA EL DESARROLLO SOCIAL, 85313
2011,DIPUTADO PROVINCIAL,FRENTE AMPLIO PROGRESISTA, 38855
2011,DIPUTADO PROVINCIAL,COMPROMISO FEDERAL, 13024
2011,DIPUTADO PROVINCIAL,COLICION CIVICA (ARI), 9459
2011,DIPUTADO PROVINCIAL,NUEVO ENCUENTRO, 9086
2011,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 372015
2011,DIPUTADO PROVINCIAL,UNION PARA EL DESARROLLO SOCIAL, 141860
2011,DIPUTADO PROVINCIAL,FRENTE AMPLIO PROGRESISTA, 81986
2011,DIPUTADO PROVINCIAL,FRENTE POPULAR, 47377
2011,DIPUTADO PROVINCIAL,COMPROMISO FEDERAL, 31437
2011,DIPUTADO PROVINCIAL,NUEVO ENCUENTRO, 20872
2011,DIPUTADO PROVINCIAL,COALICION CIVICA (ARI), 19824
2011,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 17277
2011,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 85333
2011,DIPUTADO PROVINCIAL,UNION PARA EL DESARROLLO SOCIAL, 35229
2011,DIPUTADO PROVINCIAL,FRENTE AMPLIO PROGRESISTA, 19604
2011,DIPUTADO PROVINCIAL,FRENTE POPULAR, 10436
2011,DIPUTADO PROVINCIAL,COALICION CIVICA (ARI), 7018
2011,DIPUTADO PROVINCIAL,COMPROMISO FEDERAL, 6344
2011,DIPUTADO PROVINCIAL,NUEVO ENCUENTRO, 4830
2011,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 3325
